plot,mean_wt_c
I3,8.204545454545455
G5,8.185185185185185
G2,8.1466666666666665
E13,8.084745762711865
F5,7.952941176470588
C2,7.894736842105263
D5,7.869230769230769
C6,7.65
D3,7.639097744360902
J7,7.56989247311828
E4,7.475177304964539
D1,7.463414634146342
H9,7.456521739130435
I6,7.420289855072464
F4,7.166666666666667
I5,7.158536585365853
H7,7.151515151515151
F14,7.111111111111111
G4,7.106060606060606
E12,7.076190476190476
C1,7.037037037037037
I9,7.027027027027027
J6,6.950819672131147
H4,6.875
F3,6.807228915662651
E7,6.804123711340206
D6,6.8
C7,6.797872340425532
G16,6.794117647058823
G8,6.7924528301886795
C5,6.788461538461538
E3,6.711538461538462
B1,6.698412698412699
E2,6.666666666666667
E1,6.540229885057471
B2,6.5285714285714285
E6,6.522875816993464
C23,6.5
D7,6.483050847457627
G3,6.482014388489208
D14,6.428571428571429
E14,6.3776223776223775
C21,6.345132743362832
D13,6.282828282828283
J4,6.273684210526316
C16,6.2727272727272725
I8,6.227848101265823
I7,6.222222222222222
C3,6.220338983050848
F17,6.219512195121951
I4,6.214285714285714
H3,6.17948717948718
J2,6.161764705882353
D11,6.105263157894737
H5,6.092783505154639
G9,6.047058823529412
J11,6.032258064516129
H1,6.020833333333333
D20,6
B9,5.961538461538462
D2,5.911764705882353
I1,5.8125
F2,5.806818181818182
C19,5.763440860215054
C11,5.735449735449736
B10,5.701754385964913
D9,5.6976744186046515
F6,5.666666666666667
F7,5.657534246575342
E8,5.636363636363637
B18,5.605042016806722
J5,5.595041322314049
G7,5.592356687898089
F1,5.589285714285714
F11,5.583892617449664
D15,5.579617834394904
G15,5.569343065693431
B20,5.559485530546624
H2,5.546666666666667
C17,5.527777777777778
F16,5.5
J10,5.5
E20,5.466666666666667
H10,5.431818181818182
G1,5.428571428571429
B5,5.379310344827586
I10,5.363636363636363
J8,5.3580246913580245
C18,5.342723004694836
H6,5.328125
G14,5.326923076923077
B3,5.276073619631902
E10,5.260869565217392
E15,5.247863247863248
B8,5.231958762886598
G6,5.2312925170068025
K3,5.220588235294118
D17,5.19672131147541
J9,5.164835164835165
C10,5.151515151515151
E5,5.122448979591836
B7,5.084745762711864
D10,5.0602409638554215
E9,5.030927835051546
C24,5.021052631578947
J3,5
F8,4.971223021582734
H14,4.969230769230769
F10,4.963541666666667
C9,4.956521739130435
E11,4.952127659574468
D21,4.9423076923076925
C20,4.9397590361445785
K4,4.923076923076923
D16,4.875
F13,4.849462365591398
F15,4.836363636363636
C8,4.814516129032258
D22,4.787037037037037
C4,4.778761061946903
B15,4.771929824561403
K7,4.745762711864407
C12,4.722222222222222
C22,4.670731707317073
J18,4.634146341463414
H8,4.614285714285714
H16,4.611111111111111
F12,4.605263157894737
D19,4.573770491803279
I19,4.544444444444444
F19,4.529411764705882
K5,4.5
H19,4.484615384615385
D18,4.459183673469388
B13,4.453237410071942
B11,4.440677966101695
F9,4.436619718309859
B17,4.385714285714286
E21,4.381578947368421
B19,4.366013071895424
H20,4.3478260869565215
K6,4.344827586206897
B16,4.313559322033898
F21,4.311258278145695
G10,4.2835820895522385
J13,4.275590551181103
C13,4.262295081967213
E16,4.024793388429752
A1,4.023529411764706
C15,3.9855072463768115
B12,3.9646017699115044
F18,3.960698689956332
J1,3.9420289855072466
J16,3.8958333333333335
H15,3.8333333333333335
G11,3.8260869565217392
E22,3.807017543859649
F20,3.753012048192771
L3,3.7142857142857144
K10,3.6527777777777777
A23,3.6231884057971016
C14,3.4909090909090907
B21,3.4555555555555557
B4,3.452830188679245
G12,3.4482758620689653
I2,3.4358974358974357
B6,3.435114503816794
D4,3.4056603773584904
K1,3.4
B14,3.383419689119171
H11,3.364864864864865
G19,3.355769230769231
I15,3.344155844155844
K13,3.3073394495412844
D12,3.2896825396825395
K12,3.2672413793103448
K17,3.202127659574468
L12,3.1818181818181817
G13,3.0681818181818183
G21,2.985074626865672
I12,2.943396226415094
A11,2.9338235294117645
A9,2.9195402298850577
L11,2.902439024390244
A2,2.873134328358209
D23,2.8705882352941177
K9,2.8434343434343434
L10,2.814814814814815
F fence,2.7976190476190474
E17,2.7459016393442623
J15,2.7131782945736433
D8,2.644230769230769
J19,2.625
L4,2.6176470588235294
I13,2.5972222222222223
A22,2.5681818181818183
E18,2.488888888888889
H13,2.4318181818181817
E19,2.426605504587156
A25,2.4051724137931036
I11,2.379679144385027
I14,2.3395061728395063
A4,2.2666666666666666
K2,2.2535211267605635
B22,2.237410071942446
A5,2.232283464566929
K8,2.1810699588477367
A8,2.0694444444444446
L6,2.058139534883721
A17,1.9066666666666667
A16,1.8269230769230769
H12,1.816568047337278
A10,1.7653061224489797
B23,1.6923076923076923
J12,1.6403508771929824
L17,1.6323529411764706
L7,1.5806451612903225
K11,1.4838709677419355
B24,1.4475524475524475
L14,1.40625
A21,1.3571428571428572
L13,1.3
G20,1.2704081632653061
A3,1.2424242424242424
A12,1.053191489361702
L2,1.0454545454545454
A19,1.0141843971631206
A6,1
L15,0.9719101123595506
A14,0.9183673469387755
L5,0.8529411764705882
A7,0.7884615384615384
L9,0.7647058823529411
L16,0.5714285714285714
A24,0.4
A13,0.3418803418803419
L8,0.3384615384615385
A15,0.28169014084507044
A20,0.2
A18,0.13636363636363635
L18,0.09433962264150944
L1,0
